concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";902347,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";63444,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";2179,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";41779,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";218,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";21718,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";13932,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";22902,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";26369,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";7517,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 1";"Passeio";427598,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 2";"Comercial";36622,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 3";"Passeio";1529,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 4";"Comercial";35544,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 5";"Passeio";208,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 6";"Comercial";27996,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 7";"Comercial";18124,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 8";"Comercial";37826,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Categoria 9";"Moto";11730,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"2 (Vargem)";"N/I";"Outros";"Comercial";11916,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";290977,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";30015,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";1302,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";31294,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";202,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";23295,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";16380,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";36134,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";6304,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";11591,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";222104,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";26887,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";1184,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";32267,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";187,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";21942,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";15496,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";38800,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";3372,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11717,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";203998,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";23556,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";1001,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";31354,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";159,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";21134,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";14177,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";41129,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";2900,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";11758,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 1";"Passeio";176773,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 2";"Comercial";23125,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 3";"Passeio";864,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 4";"Comercial";28092,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 5";"Passeio";155,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 6";"Comercial";19182,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 7";"Comercial";12414,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 8";"Comercial";25287,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Categoria 9";"Moto";2850,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"6 (Santo Antônio do Amparo)";"N/I";"Outros";"Comercial";6660,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 1";"Passeio";176885,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 2";"Comercial";21304,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 3";"Passeio";805,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 4";"Comercial";27102,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 5";"Passeio";144,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 6";"Comercial";19123,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 7";"Comercial";12226,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 8";"Comercial";26031,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Categoria 9";"Moto";4508,00
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"7 (Carmópolis de Minas)";"N/I";"Outros";"Comercial";6746,00
